lead_id,user_id,assignment_ts,assignment_date,lead_source,call_center,region,car_segment,lead_channel,user_tenure_bucket,price_bucket,assignment_hour,assignment_weekday,is_weekend,user_active_days_30d,user_age_days,prior_assignments_30d,seller_inventory_count,seller_response_rate_30d,item_price_log,car_age_years,mileage_km_log,item_views_1d,item_views_3d,item_views_7d,item_views_14d,item_views_30d,item_views_90d,item_favorites_1d,item_favorites_3d,item_favorites_7d,item_favorites_14d,item_favorites_30d,item_favorites_90d,detail_expands_1d,detail_expands_3d,detail_expands_7d,detail_expands_14d,detail_expands_30d,detail_expands_90d,photo_swipes_1d,photo_swipes_3d,photo_swipes_7d,photo_swipes_14d,photo_swipes_30d,photo_swipes_90d,seller_page_views_1d,seller_page_views_3d,seller_page_views_7d,seller_page_views_14d,seller_page_views_30d,seller_page_views_90d,search_views_1d,search_views_3d,search_views_7d,search_views_14d,search_views_30d,search_views_90d,query_refinements_1d,query_refinements_3d,query_refinements_7d,query_refinements_14d,query_refinements_30d,query_refinements_90d,similar_item_clicks_1d,similar_item_clicks_3d,similar_item_clicks_7d,similar_item_clicks_14d,similar_item_clicks_30d,similar_item_clicks_90d,saved_search_matches_1d,saved_search_matches_3d,saved_search_matches_7d,saved_search_matches_14d,saved_search_matches_30d,saved_search_matches_90d,user_contacts_1d,user_contacts_3d,user_contacts_7d,user_contacts_14d,user_contacts_30d,user_contacts_90d,chat_opens_1d,chat_opens_3d,chat_opens_7d,chat_opens_14d,chat_opens_30d,chat_opens_90d,call_clicks_1d,call_clicks_3d,call_clicks_7d,call_clicks_14d,call_clicks_30d,call_clicks_90d,leadgen_prev_assigned_1d,leadgen_prev_assigned_3d,leadgen_prev_assigned_7d,leadgen_prev_assigned_14d,leadgen_prev_assigned_30d,leadgen_prev_assigned_90d,leadgen_prev_answered_1d,leadgen_prev_answered_3d,leadgen_prev_answered_7d,leadgen_prev_answered_14d,leadgen_prev_answered_30d,leadgen_prev_answered_90d,leadgen_prev_positive_1d,leadgen_prev_positive_3d,leadgen_prev_positive_7d,leadgen_prev_positive_14d,leadgen_prev_positive_30d,leadgen_prev_positive_90d,active_days_auto_1d,active_days_auto_3d,active_days_auto_7d,active_days_auto_14d,active_days_auto_30d,active_days_auto_90d,target
lead_f57db09ab39ae3e7,user_0000001,2026-04-22 11:56:00,2026-04-22,CRM,external,west,budget,retargeting,warm,high,11.0,2.0,0.0,15.0,111.0,0.0,8.0,0.542232,14.260053,5.899,9.85728,3.0,7.0,7.0,27.0,38.0,156.0,0.0,0.0,1.0,2.0,4.0,11.0,0.0,,5.0,5.0,3.0,12.0,1.0,2.0,6.0,15.0,18.0,,0.0,1.0,0.0,1.1052442333313002,1.8019561721350918,3.0,1.0,2.0,8.0,20.0,30.0,74.0,0.0,2.0,3.0,3.0,6.0,24.0,0.0,1.0,2.0,5.0,7.0,31.0,0.0,0.0,0.0,1.0,2.0,12.0,1.0,0.0,1.0,1.0,3.0,,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0,1.0,2.0,3.0,,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,26.0,0
lead_a6184b8a8165a27b,user_0000002,2026-04-07 14:49:00,2026-04-07,CRM,voxys,north,standard,partner,warm,mid,14.0,1.0,0.0,7.0,519.0,0.0,12.0,0.653755,12.874822,4.865,11.237141,0.0,2.0,8.0,5.0,11.0,36.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,1.0,3.0,12.0,0.0,2.0,1.0,3.0,10.0,30.0,0.0,0.0,0.0,0.0,0.9253215349323405,2.0,0.0,2.0,4.0,9.0,10.0,25.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,1.0,2.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,4.0,5.0,0
lead_229c2a117dbac203,user_0000003,2026-04-12 17:01:00,2026-04-12,Perf,external,north,budget,retargeting,new,low,17.0,6.0,1.0,29.0,290.0,0.0,21.0,0.065567,12.249414,7.061,11.416879,6.0,11.0,26.0,47.0,115.0,401.0,0.0,2.0,2.0,,13.0,31.0,0.0,3.0,3.0,7.0,11.0,40.0,2.0,4.0,11.0,21.0,55.0,173.0,0.0,0.0,0.9381501299219285,1.9844057755386626,10.484776859322555,22.0,,3.0,17.0,35.0,49.0,188.0,1.0,1.0,2.0,7.0,13.0,48.0,3.0,1.0,11.0,11.0,16.0,77.0,0.0,0.0,3.0,5.0,3.0,30.0,0.0,0.0,4.0,1.0,8.0,26.0,1.0,1.0,0.0,2.0,6.0,14.0,0.0,1.0,2.0,6.0,3.0,19.0,0.0,0.0,2.0,1.0,6.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,4.0,1.0,10.0,12.0,52.0,0
lead_16b19e58042ef905,user_0000005,2026-04-13 21:39:00,2026-04-13,Model,voxys,east,premium,partner,warm,low,21.0,0.0,0.0,5.0,1572.0,0.0,52.0,0.071391,12.446563,6.588,11.546562,1.0,2.0,4.0,8.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,2.0,5.0,21.0,0.0,0.0,0.0,0.9920602790281199,5.514574877325968,2.0,0.0,2.0,1.0,4.0,8.0,24.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,,1
lead_734c227324978a36,user_0000006,2026-04-12 18:01:00,2026-04-12,CRM,voxys,central,budget,retargeting,warm,high,18.0,6.0,1.0,5.0,1073.0,1.0,30.0,0.501654,13.615314,2.652,11.097633,0.0,3.0,2.0,7.0,22.0,36.0,0.0,,0.0,3.0,3.0,4.0,0.0,0.0,0.0,,1.0,6.0,0.0,2.0,3.0,3.0,6.0,29.0,0.0,0.0,0.0,0.0,1.9060614489708712,2.0,0.0,0.0,4.0,,6.0,41.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,4.0,11.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0
lead_b92a98adee098fdc,user_0000007,2026-04-07 19:59:00,2026-04-07,CRM,external,south,budget,app,warm,low,19.0,1.0,0.0,21.0,339.0,0.0,1.0,0.449611,12.607654,6.823,12.108758,4.0,4.0,18.0,22.0,58.0,,0.0,2.0,1.0,3.0,6.0,25.0,0.0,1.0,2.0,3.0,7.0,19.0,0.0,3.0,4.0,19.0,41.0,98.0,0.0,1.0,0.0,0.0,6.050099348937732,9.0,1.0,4.0,10.0,19.0,27.0,105.0,,0.0,3.0,2.0,7.0,20.0,0.0,0.0,1.0,5.0,8.0,52.0,0.0,0.0,0.0,1.0,5.0,7.0,0.0,1.0,0.0,1.0,3.0,9.0,1.0,1.0,1.0,4.0,3.0,14.0,1.0,1.0,2.0,1.0,3.0,7.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,10.0,22.0,0
lead_2a5dc4c2602473e8,user_0000008,2026-04-07 12:59:00,2026-04-07,CRM,external,north,standard,web,new,mid,12.0,1.0,0.0,6.0,725.0,1.0,79.0,0.369334,12.934675,4.113,10.402039,0.0,0.0,2.0,2.0,7.0,35.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,,2.0,11.0,0.0,0.0,0.9221050392032346,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,22.0,0.0,0.0,2.0,0.0,0.0,2.0,,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0
lead_a11aaccc3e46dbeb,user_0000009,2026-04-10 13:31:00,2026-04-10,Model,voxys,north,budget,web,new,high,13.0,4.0,0.0,11.0,161.0,0.0,7.0,0.245893,13.314116,1.967,11.105997,2.0,1.0,3.0,8.0,,61.0,0.0,0.0,1.0,,2.0,5.0,0.0,0.0,1.0,0.0,2.0,,0.0,1.0,0.0,4.0,13.0,36.0,0.0,,0.0,0.0,0.0,4.0,1.0,2.0,2.0,6.0,9.0,41.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,7.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,4.0,10.0,0
lead_0c172042083dc0c6,user_0000010,2026-04-18 19:37:00,2026-04-18,CRM,external,south,budget,retargeting,loyal,mid,19.0,5.0,1.0,17.0,132.0,0.0,12.0,0.291924,13.813741,9.352,10.812646,2.0,6.0,14.0,17.0,27.0,113.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,1.0,1.0,7.0,4.0,20.0,0.0,1.0,5.0,9.0,16.0,54.0,0.0,0.0,0.0,2.7721657281065397,3.211553189780785,8.0,1.0,3.0,4.0,9.0,22.0,,0.0,0.0,2.0,3.0,,13.0,1.0,0.0,4.0,,5.0,29.0,1.0,1.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,2.0,6.0,17.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,5.0,16.0,0
lead_6520997f3b9b30d3,user_0000011,2026-04-16 16:04:00,2026-04-16,Model,external,central,commercial,web,warm,mid,16.0,3.0,0.0,11.0,502.0,0.0,52.0,0.703574,13.105272,2.061,11.475928,0.0,2.0,2.0,11.0,20.0,50.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,1.0,5.0,11.0,0.0,1.0,1.0,4.0,10.0,29.0,,0.0,0.0,0.0,1.033440409756559,6.0,0.0,1.0,4.0,2.0,11.0,33.0,0.0,1.0,1.0,4.0,1.0,11.0,0.0,0.0,1.0,3.0,3.0,9.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,,14.0,0
